               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.043727,            0.015183,            0.010353,             0.90006,             0.82004,             0.87351,             0.37742,             0.03686,            0.011861,           0.0067024,            0.006436,            0.006436,            0.006436
                  38,            0.042567,            0.015719,           0.0088572,             0.90434,             0.81631,             0.88934,             0.39055,            0.036099,            0.012168,           0.0061307,            0.006337,            0.006337,            0.006337
                  39,            0.042147,            0.015814,            0.009133,             0.90601,             0.85504,             0.91403,             0.40854,            0.037386,            0.011937,           0.0050665,            0.006238,            0.006238,            0.006238
                  40,            0.044379,            0.016171,           0.0094577,             0.87454,             0.81898,             0.86757,             0.35723,            0.041433,            0.011902,           0.0057315,            0.006139,            0.006139,            0.006139
                  41,            0.041466,            0.015135,           0.0084393,             0.90524,             0.86639,             0.91319,             0.40643,            0.037192,             0.01179,            0.005634,             0.00604,             0.00604,             0.00604
                  42,            0.041086,            0.015328,           0.0088016,             0.87174,             0.87842,             0.91847,             0.39929,            0.037687,            0.011492,            0.004825,            0.005941,            0.005941,            0.005941
                  43,            0.041206,            0.016518,           0.0077002,             0.91012,             0.86991,             0.91173,              0.3739,            0.039787,            0.011883,           0.0055612,            0.005842,            0.005842,            0.005842
                  44,            0.041787,            0.015731,            0.007286,             0.89742,             0.85246,             0.89151,             0.37772,            0.037424,             0.01189,           0.0060422,            0.005743,            0.005743,            0.005743
                  45,            0.040718,            0.015569,           0.0066674,             0.93379,             0.85864,             0.91585,             0.40972,            0.035948,             0.01163,           0.0045662,            0.005644,            0.005644,            0.005644
                  46,            0.043034,            0.015673,           0.0082506,             0.90356,             0.88426,             0.91778,             0.42445,            0.035771,            0.011363,           0.0042471,            0.005545,            0.005545,            0.005545
                  47,            0.041635,            0.015116,           0.0065582,             0.94568,             0.87498,              0.9296,             0.42017,             0.03471,            0.011684,            0.003895,            0.005446,            0.005446,            0.005446
                  48,            0.042269,            0.014791,           0.0074636,             0.93628,             0.88842,             0.92608,             0.39445,            0.035165,            0.011619,           0.0039552,            0.005347,            0.005347,            0.005347
                  49,            0.040813,            0.015102,           0.0080779,             0.91505,             0.85947,             0.89927,             0.37057,            0.036422,            0.011588,            0.003624,            0.005248,            0.005248,            0.005248
                  50,            0.038212,            0.015452,           0.0051768,             0.92821,             0.86994,             0.91625,             0.39258,            0.037252,            0.011459,            0.004373,            0.005149,            0.005149,            0.005149
                  51,            0.040892,            0.014857,           0.0069008,             0.93611,             0.88254,             0.91875,             0.39398,            0.037853,             0.01133,            0.004207,             0.00505,             0.00505,             0.00505
                  52,            0.040875,            0.015088,           0.0079081,             0.90161,             0.86511,             0.89666,             0.34713,            0.036463,             0.01167,           0.0039276,            0.004951,            0.004951,            0.004951
                  53,            0.038674,            0.014672,           0.0057253,             0.93778,             0.88033,             0.92745,             0.41939,            0.036274,            0.011506,            0.003361,            0.004852,            0.004852,            0.004852
                  54,            0.036432,            0.014665,           0.0051298,             0.95221,             0.88508,             0.93706,             0.42213,            0.035539,            0.011211,           0.0033958,            0.004753,            0.004753,            0.004753
                  55,             0.03845,             0.01507,           0.0055094,             0.94154,             0.89373,             0.93342,             0.43011,            0.034501,            0.011129,           0.0030622,            0.004654,            0.004654,            0.004654
                  56,            0.038936,            0.014711,           0.0056588,             0.92724,             0.88536,             0.92026,             0.40588,            0.035854,             0.01139,           0.0037109,            0.004555,            0.004555,            0.004555
                  57,            0.036054,            0.014489,           0.0047173,             0.93157,             0.88475,             0.92403,             0.39439,            0.036137,            0.011305,           0.0039365,            0.004456,            0.004456,            0.004456
                  58,            0.035553,            0.014449,           0.0052131,             0.92383,             0.87384,             0.91552,               0.387,            0.035473,            0.011238,           0.0036684,            0.004357,            0.004357,            0.004357
                  59,            0.037503,            0.014289,           0.0050983,             0.95366,             0.88138,             0.93412,             0.42416,            0.035265,            0.011276,           0.0031759,            0.004258,            0.004258,            0.004258
                  60,            0.036609,            0.014042,            0.005303,              0.9404,             0.90123,             0.92894,             0.43083,            0.033184,             0.01106,            0.003069,            0.004159,            0.004159,            0.004159
                  61,            0.035687,            0.014063,           0.0045221,             0.94667,             0.91545,             0.93963,             0.45083,            0.032003,            0.011064,           0.0030843,             0.00406,             0.00406,             0.00406
                  62,             0.03432,            0.014437,            0.005119,             0.92995,             0.90357,             0.94175,             0.44947,            0.032801,            0.011207,           0.0033555,            0.003961,            0.003961,            0.003961
                  63,            0.036925,            0.014559,           0.0055378,             0.93944,             0.91068,              0.9386,             0.43524,              0.0332,            0.011022,           0.0031784,            0.003862,            0.003862,            0.003862
                  64,            0.034055,            0.013883,           0.0035588,              0.9655,             0.90772,             0.94815,             0.46728,            0.031671,            0.010992,           0.0028666,            0.003763,            0.003763,            0.003763
                  65,            0.035761,            0.014534,           0.0038893,             0.95358,             0.91589,             0.94848,             0.46985,            0.030828,            0.010632,           0.0027635,            0.003664,            0.003664,            0.003664
                  66,            0.034896,            0.013947,           0.0048275,             0.95463,             0.91459,             0.94556,             0.45001,            0.032264,            0.010778,           0.0026774,            0.003565,            0.003565,            0.003565
                  67,            0.034533,            0.014151,           0.0037753,             0.94569,              0.8898,             0.92968,             0.42162,            0.033184,            0.010996,           0.0030067,            0.003466,            0.003466,            0.003466
                  68,            0.034532,            0.014345,            0.004081,             0.94769,             0.90012,             0.94085,             0.46535,            0.031608,            0.010854,           0.0033177,            0.003367,            0.003367,            0.003367
                  69,            0.037439,            0.013937,           0.0046549,              0.9696,             0.91345,             0.94528,             0.46249,            0.032122,             0.01074,           0.0026656,            0.003268,            0.003268,            0.003268
                  70,            0.036222,            0.014363,           0.0044682,             0.95987,             0.91091,             0.94638,             0.44928,            0.032386,            0.010816,           0.0026724,            0.003169,            0.003169,            0.003169
                  71,            0.034138,            0.013583,           0.0044822,             0.94647,             0.91031,             0.94199,             0.44969,            0.031612,            0.010947,           0.0025297,             0.00307,             0.00307,             0.00307
                  72,            0.034457,            0.014255,           0.0043856,             0.95541,             0.90233,             0.93561,             0.44854,            0.032523,            0.010837,           0.0024746,            0.002971,            0.002971,            0.002971
                  73,            0.034011,            0.013596,           0.0033405,             0.94496,              0.9148,             0.94385,             0.44196,            0.032573,            0.010875,           0.0025336,            0.002872,            0.002872,            0.002872
                  74,            0.033505,            0.013727,           0.0044694,             0.93789,             0.90706,             0.94185,             0.43579,             0.03194,            0.010891,           0.0028081,            0.002773,            0.002773,            0.002773
                  75,            0.034417,            0.013824,           0.0037584,              0.9465,             0.89892,             0.93702,             0.44832,            0.032157,            0.010939,           0.0029767,            0.002674,            0.002674,            0.002674
                  76,             0.03347,            0.013202,           0.0035413,             0.94151,             0.91626,             0.94536,             0.46506,            0.031259,            0.010878,           0.0027697,            0.002575,            0.002575,            0.002575
                  77,            0.033157,            0.013598,           0.0031284,             0.96231,             0.91248,             0.94995,              0.4768,            0.030108,            0.010636,           0.0026088,            0.002476,            0.002476,            0.002476
                  78,            0.031813,            0.014493,           0.0028448,             0.97167,             0.90244,             0.94806,             0.46453,            0.030168,            0.010795,           0.0023928,            0.002377,            0.002377,            0.002377
                  79,            0.030987,            0.013131,           0.0034136,             0.95505,             0.91255,             0.94123,             0.44074,            0.030877,            0.010789,           0.0024985,            0.002278,            0.002278,            0.002278
                  80,            0.031655,            0.013448,           0.0028341,             0.95637,             0.91907,             0.94872,             0.46047,            0.031114,             0.01056,             0.00238,            0.002179,            0.002179,            0.002179
                  81,            0.033091,            0.013403,           0.0031536,             0.94525,              0.9305,             0.94953,             0.47145,            0.030894,             0.01065,           0.0021641,             0.00208,             0.00208,             0.00208
                  82,            0.033377,            0.013237,           0.0032109,             0.96336,             0.92543,             0.94914,             0.45245,            0.030801,            0.010701,           0.0021975,            0.001981,            0.001981,            0.001981
                  83,            0.031257,            0.014044,           0.0034315,             0.96306,             0.91989,             0.94599,             0.45847,            0.031821,            0.010625,            0.002197,            0.001882,            0.001882,            0.001882
                  84,            0.030475,             0.01305,           0.0028225,             0.96198,             0.91955,             0.94894,              0.4714,            0.030357,             0.01065,           0.0024251,            0.001783,            0.001783,            0.001783
                  85,            0.032099,            0.014075,           0.0030118,             0.94908,             0.92278,             0.94854,             0.45068,            0.031472,            0.010741,           0.0025713,            0.001684,            0.001684,            0.001684
                  86,             0.03099,            0.013941,            0.003549,             0.97169,             0.90979,             0.95209,              0.4763,            0.030195,             0.01068,           0.0022221,            0.001585,            0.001585,            0.001585
                  87,            0.030262,            0.013019,            0.003137,             0.96062,             0.92852,             0.95343,             0.47046,            0.030957,            0.010642,           0.0020785,            0.001486,            0.001486,            0.001486
                  88,            0.031622,            0.013007,           0.0029581,             0.95845,              0.9275,             0.94924,             0.44919,            0.031018,            0.010684,           0.0021082,            0.001387,            0.001387,            0.001387
                  89,            0.030525,            0.013467,            0.003312,             0.95591,             0.92766,             0.95154,             0.46271,            0.031151,            0.010656,            0.002098,            0.001288,            0.001288,            0.001288
                  90,            0.029763,            0.013069,           0.0027243,             0.94853,             0.92516,             0.94369,             0.45938,             0.03164,             0.01069,           0.0021972,            0.001189,            0.001189,            0.001189
                  91,            0.031133,            0.012756,           0.0031537,             0.95516,             0.93172,             0.95019,             0.46494,             0.03077,            0.010567,           0.0022692,             0.00109,             0.00109,             0.00109
                  92,            0.030246,            0.012676,           0.0033423,             0.95713,             0.92327,             0.94757,             0.47063,             0.03026,             0.01058,           0.0022285,            0.000991,            0.000991,            0.000991
                  93,            0.031098,            0.013731,           0.0035113,             0.95486,             0.92612,             0.95039,             0.46325,            0.030192,            0.010604,           0.0022855,            0.000892,            0.000892,            0.000892
                  94,            0.030175,            0.013568,            0.002545,             0.95759,              0.9207,             0.94798,             0.46715,            0.030302,            0.010614,           0.0021682,            0.000793,            0.000793,            0.000793
                  95,            0.031369,            0.013329,           0.0031091,             0.96238,             0.91835,             0.94913,             0.47487,            0.029524,            0.010586,           0.0021484,            0.000694,            0.000694,            0.000694
                  96,            0.029104,            0.012941,           0.0026616,             0.96291,             0.91455,              0.9462,             0.46974,            0.029589,            0.010648,           0.0022205,            0.000595,            0.000595,            0.000595
                  97,            0.028951,            0.012836,           0.0031659,             0.96156,             0.91701,             0.94501,             0.45881,             0.03049,            0.010655,           0.0022684,            0.000496,            0.000496,            0.000496
                  98,            0.029159,            0.013667,           0.0023804,              0.9644,             0.91856,             0.94842,             0.46849,            0.030034,            0.010558,            0.002204,            0.000397,            0.000397,            0.000397
                  99,            0.027766,            0.012917,            0.002288,             0.96297,             0.92588,             0.94962,             0.47137,            0.029544,            0.010534,           0.0021145,            0.000298,            0.000298,            0.000298
