               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041855,            0.014709,           0.0044186,              0.9416,             0.87571,             0.90835,             0.43958,            0.035105,            0.010672,           0.0024367,            0.006436,            0.006436,            0.006436
                  38,            0.040693,            0.014408,           0.0037827,               0.944,             0.88868,             0.91683,             0.44238,            0.035752,            0.010459,            0.002565,            0.006337,            0.006337,            0.006337
                  39,            0.039545,             0.01432,           0.0040953,             0.93743,             0.90797,             0.92886,             0.45312,            0.034295,              0.0106,           0.0023821,            0.006238,            0.006238,            0.006238
                  40,            0.041387,            0.014762,           0.0040367,             0.94533,             0.89194,             0.91795,             0.44356,            0.033856,            0.010791,            0.002138,            0.006139,            0.006139,            0.006139
                  41,            0.039854,            0.014434,           0.0043568,             0.94862,             0.90633,              0.9274,             0.44774,            0.035377,            0.010645,           0.0021352,             0.00604,             0.00604,             0.00604
                  42,            0.039772,            0.014104,           0.0039833,              0.9493,             0.90554,             0.93143,             0.45105,            0.035539,            0.010254,           0.0022327,            0.005941,            0.005941,            0.005941
                  43,            0.040863,            0.014279,           0.0041618,             0.94346,             0.91411,             0.93322,             0.47805,            0.031945,             0.01028,           0.0019536,            0.005842,            0.005842,            0.005842
                  44,            0.039193,            0.013801,           0.0037887,             0.95575,             0.89776,             0.92565,             0.43455,             0.03726,            0.010326,           0.0024026,            0.005743,            0.005743,            0.005743
                  45,            0.038955,            0.014067,           0.0038618,             0.94452,             0.93244,             0.94255,             0.46395,            0.034204,            0.010373,           0.0017421,            0.005644,            0.005644,            0.005644
                  46,            0.040292,             0.01376,            0.004018,             0.95911,             0.92331,              0.9483,             0.47388,            0.034146,            0.010151,           0.0020599,            0.005545,            0.005545,            0.005545
                  47,            0.038352,            0.013962,           0.0033094,             0.94861,             0.90504,             0.92975,              0.4539,            0.034521,            0.010179,           0.0022242,            0.005446,            0.005446,            0.005446
                  48,            0.038282,            0.013925,            0.003183,             0.96213,             0.89811,             0.92448,             0.46533,            0.033071,            0.010448,           0.0018867,            0.005347,            0.005347,            0.005347
                  49,            0.036597,            0.013804,           0.0026107,             0.95998,               0.912,             0.94192,              0.4811,            0.032645,            0.010177,           0.0017094,            0.005248,            0.005248,            0.005248
                  50,            0.036942,            0.013473,           0.0028483,             0.96011,              0.9162,               0.942,             0.46751,            0.034122,            0.010092,           0.0018565,            0.005149,            0.005149,            0.005149
                  51,            0.036831,             0.01347,           0.0027906,             0.94823,             0.90737,             0.92358,             0.46147,            0.031626,            0.010118,           0.0021147,             0.00505,             0.00505,             0.00505
                  52,            0.036888,            0.013682,           0.0033915,             0.95892,             0.92105,             0.94317,             0.47845,            0.030737,           0.0099723,           0.0016889,            0.004951,            0.004951,            0.004951
                  53,            0.036786,            0.013804,           0.0027947,             0.94598,             0.91101,             0.93158,             0.47175,            0.032694,            0.010021,           0.0017366,            0.004852,            0.004852,            0.004852
                  54,             0.03612,            0.013198,           0.0032226,             0.94915,             0.91674,             0.94058,             0.47387,             0.03261,            0.010076,           0.0020745,            0.004753,            0.004753,            0.004753
                  55,            0.036048,            0.013458,           0.0027731,             0.97079,             0.91807,             0.93864,             0.47817,            0.033708,            0.010157,           0.0018608,            0.004654,            0.004654,            0.004654
                  56,            0.037066,            0.013543,            0.002633,             0.96794,             0.90554,             0.93907,              0.4728,            0.034711,            0.010238,           0.0020194,            0.004555,            0.004555,            0.004555
                  57,            0.034381,            0.013403,           0.0027681,             0.95979,             0.91165,             0.92745,             0.46532,            0.033295,            0.010334,           0.0020392,            0.004456,            0.004456,            0.004456
                  58,            0.034909,            0.013122,           0.0028886,             0.96465,             0.93413,             0.94609,             0.49919,            0.031777,            0.010041,           0.0015768,            0.004357,            0.004357,            0.004357
                  59,            0.035659,             0.01325,           0.0024354,             0.96114,              0.9275,             0.94594,             0.48563,             0.03248,           0.0099932,           0.0018546,            0.004258,            0.004258,            0.004258
                  60,             0.03392,            0.013022,           0.0022538,             0.95038,             0.92204,             0.94639,             0.48427,            0.032711,           0.0099308,            0.001807,            0.004159,            0.004159,            0.004159
                  61,            0.033797,            0.012743,           0.0025858,             0.96979,             0.91752,             0.93761,             0.48272,            0.032189,           0.0099381,            0.001441,             0.00406,             0.00406,             0.00406
                  62,            0.034158,            0.013161,           0.0030784,             0.96025,             0.90048,             0.93208,             0.47072,            0.031439,            0.010041,           0.0017699,            0.003961,            0.003961,            0.003961
                  63,            0.034117,            0.013113,           0.0026264,             0.95941,             0.93046,             0.94406,             0.48679,            0.031511,            0.010028,           0.0015677,            0.003862,            0.003862,            0.003862
